tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paraclostridium	67	0	13	0	21	102	29	232
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;SEEP-SRB4	44	3	0	0	39	40	96	222
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellulaceae_uncultured	2	85	15	0	7	74	35	218
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	199	0	0	1	0	0	14	214
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium	107	0	0	0	11	0	96	214
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Clostridioides	13	0	1	0	11	180	7	212
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	73	0	0	0	32	106	1	212
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicimonas	58	59	0	0	41	43	9	210
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium	5	0	0	204	0	0	0	209
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	56	0	0	1	0	139	11	207
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Photobacterium	7	76	0	15	0	52	51	201
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;SUP05 cluster	49	2	2	7	48	31	62	201
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 7	34	5	86	0	19	12	45	201
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionellaceae_uncultured	0	25	27	0	28	0	121	201
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Litoreibacter	72	13	0	0	56	45	13	199
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae;Vagococcus	176	0	0	0	0	0	16	192
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus	73	0	0	0	10	53	50	186
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	21	25	5	46	4	71	12	184
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola	13	69	0	0	5	80	17	184
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;IheB2-31	184	0	0	0	0	0	0	184
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Phaeobacter	126	0	7	0	19	0	27	179
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutimonas	1	20	0	0	36	42	78	177
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudohongiellaceae;BIyi10	38	4	3	3	13	28	88	177
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Catenisphaera	110	0	0	0	2	0	59	171
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Gimesiaceae_uncultured	29	46	0	0	11	84	1	171
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	170	0	0	0	0	0	0	170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	0	0	0	167	1	0	0	168
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella	3	33	0	0	25	63	40	164
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Hungateiclostridiaceae_uncultured	0	0	0	0	4	157	1	162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus	51	56	0	0	7	32	9	155
Bacteria;Bacteria_none;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter	1	0	26	0	8	46	74	155
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	36	0	0	85	0	23	10	154
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;Marinobacterium	49	1	1	39	9	5	47	151
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Unknown Family;Alkalimarinus	43	2	1	4	9	17	74	150
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Cryomorphaceae_uncultured	0	0	52	0	3	14	81	150
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Crocinitomix	32	10	30	0	0	39	37	148
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;Colwelliaceae_uncultured	8	49	22	32	0	5	29	145
Bacteria;Bacteria_none;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10	0	0	0	0	44	78	23	145
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;Luminiphilus	20	0	1	1	27	29	65	143
Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta 2	54	10	0	0	16	58	0	138
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aurantivirga	21	0	6	58	0	21	31	137
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group	8	37	0	0	14	48	22	129
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Porticoccaceae;C1-B045	24	0	8	0	20	21	56	129
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium	48	0	2	0	25	40	13	128
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Rubinisphaeraceae_uncultured	0	79	1	0	8	0	40	128
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Spongiibacteraceae_uncultured	29	0	0	0	18	22	59	128
Bacteria;Bacteria_none;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Sva0081 sediment group	0	1	7	0	18	61	38	125
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptoclostridium	72	0	1	0	11	31	8	123
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita	4	109	0	0	1	4	4	122
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Bizionia	32	6	0	1	0	2	80	121
